dealer_id,dealer_name,city,state,region,dealer_type,year_established,is_active
DLR-AL-044,Pro Equipment Montgomery,Montgomery,AL,Southeast,Authorized Dealer,1992,True
DLR-FL-045,FL Equipment Co.,Miami,FL,Southeast,Premium Dealer,2015,True
DLR-FL-046,Miami Small Engine,Miami,FL,Southeast,Authorized Dealer,2007,True
DLR-NC-047,NC Power Equipment,Asheville,NC,Southeast,Premium Dealer,2019,True
DLR-MI-048,Smith's Power Equipment,Detroit,MI,Midwest,Authorized Dealer,2001,True
DLR-MI-049,Grand Rapids Equipment Sales,Grand Rapids,MI,Midwest,Premium Dealer,1998,True
DLR-MI-050,Detroit Outdoor Power,Detroit,MI,Midwest,Authorized Dealer,2000,True
DLR-IL-051,Chicago Outdoor Power,Chicago,IL,Midwest,Premium Dealer,2008,True
DLR-IL-052,IL Power Equipment,Springfield,IL,Midwest,Authorized Dealer,1990,True
DLR-MI-053,All Seasons Ann Arbor,Ann Arbor,MI,Midwest,Authorized Dealer,2020,True
DLR-WI-054,Premier Equipment Appleton,Appleton,WI,Midwest,Service Center,1989,True
DLR-MI-055,MI Power Equipment,Detroit,MI,Midwest,Premium Dealer,1999,True
DLR-IN-056,Premier Equipment South Bend,South Bend,IN,Midwest,Authorized Dealer,1989,True
DLR-OH-057,Akron Hardware & Power,Akron,OH,Midwest,Premium Dealer,1989,True
DLR-MI-058,MI Equipment Co.,Detroit,MI,Midwest,Authorized Dealer,2010,True
DLR-MI-059,Premier Equipment Ann Arbor,Ann Arbor,MI,Midwest,Authorized Dealer,2004,True
DLR-IL-060,Peoria Power Equipment,Peoria,IL,Midwest,Authorized Dealer,2006,True
DLR-WI-061,Madison Hardware & Power,Madison,WI,Midwest,Premium Dealer,2020,True
DLR-MI-062,Lansing Small Engine,Lansing,MI,Midwest,Authorized Dealer,2019,True
DLR-OH-063,OH Power Equipment,Akron,OH,Midwest,Premium Dealer,2008,True
DLR-IN-064,Brown's Power Equipment,Evansville,IN,Midwest,Authorized Dealer,2001,True
DLR-WI-065,Martin's Power Equipment,Green Bay,WI,Midwest,Authorized Dealer,2004,True
DLR-IN-066,All Seasons Evansville,Evansville,IN,Midwest,Authorized Dealer,1989,True
DLR-IN-067,IN Equipment Co.,Indianapolis,IN,Midwest,Service Center,2008,True
DLR-MA-068,Worcester Equipment Sales,Worcester,MA,Northeast,Authorized Dealer,2017,True
DLR-NJ-069,NJ Equipment Co.,Jersey City,NJ,Northeast,Premium Dealer,1986,True
DLR-NY-070,Syracuse Rental & Sales,Syracuse,NY,Northeast,Authorized Dealer,1995,True
DLR-PA-071,PA Power Equipment,Harrisburg,PA,Northeast,Authorized Dealer,2003,True
DLR-CT-072,Hartford Lawn & Garden,Hartford,CT,Northeast,Authorized Dealer,1995,True
DLR-NJ-073,Jersey City Outdoor Power,Jersey City,NJ,Northeast,Authorized Dealer,1986,True
DLR-CT-074,Stamford Lawn & Garden,Stamford,CT,Northeast,Authorized Dealer,2004,True
DLR-CT-075,CT Power Equipment,Hartford,CT,Northeast,Premium Dealer,2002,True
DLR-PA-076,All Seasons Allentown,Allentown,PA,Northeast,Authorized Dealer,2000,True
DLR-MA-077,Springfield Power Equipment,Springfield,MA,Northeast,Premium Dealer,2019,True
DLR-MA-078,Cambridge Lawn & Garden,Cambridge,MA,Northeast,Authorized Dealer,2014,True
DLR-PA-079,PA Equipment Co.,Pittsburgh,PA,Northeast,Authorized Dealer,2017,True
DLR-CT-080,Hartford Outdoor Power,Hartford,CT,Northeast,Authorized Dealer,1996,True
DLR-NJ-081,NJ Power Equipment,Trenton,NJ,Northeast,Authorized Dealer,1985,True
DLR-PA-082,Allentown Outdoor Power,Allentown,PA,Northeast,Authorized Dealer,2009,True
DLR-NJ-083,Princeton Small Engine,Princeton,NJ,Northeast,Premium Dealer,2001,True
DLR-MA-084,Williams's Equipment,Worcester,MA,Northeast,Authorized Dealer,1995,True
DLR-CT-085,CT Equipment Co.,New Haven,CT,Northeast,Premium Dealer,1985,True
DLR-WA-086,Premier Equipment Spokane,Spokane,WA,West,Premium Dealer,1992,True
DLR-OR-087,Campbell's Equipment,Salem,OR,West,Service Center,2010,True
DLR-WA-088,Pro Equipment Spokane,Spokane,WA,West,Authorized Dealer,1999,True
DLR-CO-089,All Seasons Boulder,Boulder,CO,West,Authorized Dealer,2007,True
DLR-WA-090,WA Equipment Co.,Olympia,WA,West,Service Center,1996,True
DLR-CA-091,San Francisco Outdoor Power,San Francisco,CA,West,Authorized Dealer,2016,True
DLR-CA-092,Fresno Lawn & Garden,Fresno,CA,West,Service Center,1989,True
DLR-CO-093,Premier Equipment Denver,Denver,CO,West,Authorized Dealer,1995,True
DLR-CO-094,Denver Equipment Sales,Denver,CO,West,Authorized Dealer,2002,True
DLR-CA-095,Oakland Hardware & Power,Oakland,CA,West,Service Center,2017,True
DLR-WA-096,Tacoma Small Engine,Tacoma,WA,West,Authorized Dealer,2010,True
DLR-OR-097,All Seasons Bend,Bend,OR,West,Authorized Dealer,2004,True
DLR-CA-098,Oakland Power Equipment,Oakland,CA,West,Authorized Dealer,2018,True
DLR-CO-099,Boulder Outdoor Power,Boulder,CO,West,Authorized Dealer,1987,True
DLR-CA-100,CA Equipment Co.,Fresno,CA,West,Premium Dealer,2008,True
